Title, Source, Date, Content, URL, Category
Coronavirus hits hundreds of US police amid protective gear shortages,Channelnewsasia.com,30/3/2020,NEW YORK: When nine police officers showed up to make an arrest near Melrose Avenue in the Bronx last Wednesday; none wore a mask or gloves to protect them from coronavirus.,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-hundreds-police-protective-gear-shortages-12591232,World
JPMorgan plans to raise up to US$10 billion for alternative investments: Bloomberg News,Channelnewsasia.com,30/3/2020,JPMorgan Chase & Co's  alternative investments unit is seeking to raise up to US$10 billion to boost its spending power in the face of the coronavirus pandemic; Bloomberg News reported on Monday.,https://www.channelnewsasia.com/news/business/jpmorgan-plans-to-raise-up-to-us-10-billion-for-alternative-investments--bloomberg-news-12591494,Business
Kohl's extends store closure; draws down US$1 billion credit facility amid coronavirus outbreak,Channelnewsasia.com,30/3/2020,Kohl's Corp  said on Monday it would extend the duration of store closure; and fully draw down on its US$1 billion revolving credit facility to control damages from the coronavirus pandemic.,https://www.channelnewsasia.com/news/business/kohl-s-extends-store-closure--draws-down-us-1-billion-credit-facility-amid-coronavirus-outbreak-12591490,Business
France sees worst daily death toll as army ferries critical coronavirus patients,Channelnewsasia.com,30/3/2020,STRASBOURG: France recorded its worst daily coronavirus death toll on Monday (Mar 30); exceeding 3;000 for the first time; and army helicopters transported critical patients from the east to hospitals overseas as the country battled to free up space in life-s…,https://www.channelnewsasia.com/news/world/france-sees-worst-daily-death-toll-army-coronavirus-patients-12590956,World
US markets watchdog Clayton says SEC should not ban short-selling of shares,Channelnewsasia.com,30/3/2020,The head of the U.S. Securities and Exchange Commission said on Monday that it should not ban short-selling of shares; amid speculation on further measures the agency might take to arrest a market rout that stems from fears the coronavirus will spark a global…,https://www.channelnewsasia.com/news/business/us-markets-watchdog-clayton-says-sec-should-not-ban-short-selling-of-shares-12591480,Business
AmEx to freeze hiring; not cut jobs as coronavirus crisis deepens- Bloomberg News,Channelnewsasia.com,30/3/2020,Credit card issuer American Express Co  will freeze hiring and avoid job cuts this year in response to the coronavirus pandemic; Bloomberg news reported on Monday; citing a video message to employees from Chief Executive Officer Steve Squeri.,https://www.channelnewsasia.com/news/business/amex-to-freeze-hiring--not-cut-jobs-as-coronavirus-crisis-deepens--bloomberg-news-12591448,Business
Japan destroyer; China fishing boat collide in sea off Shanghai,Channelnewsasia.com,30/3/2020,TOKYO: A Japanese naval destroyer and a Chinese fishing boat have collided in the sea off Shanghai but there were no injuries; Japanese media reported early on Tuesday (Mar 31).,https://www.channelnewsasia.com/news/asia/japan-destroyer-china-fishing-boat-collide-in-sea-off-shanghai-12591426,World
Bostic: Fed programs could be broadened if they have missed important parts of economy,Channelnewsasia.com,30/3/2020,As U.S. officials role out trillions of dollars in new economic support; a Federal Reserve policymaker on Monday said focus will now shift to whether those programs prove adequate or need to be expanded even further.,https://www.channelnewsasia.com/news/business/bostic--fed-programs-could-be-broadened-if-they-have-missed-important-parts-of-economy-12591444,Business
Coronavirus drives US March auto sales off a cliff,Channelnewsasia.com,30/3/2020,U.S. new vehicle sales likely drove off a cliff in March as the coronavirus pandemic pounded consumer confidence and shuttered dealerships across much of the country; and sales are likely to take a further beating in April as social distancing guidelines rema…,https://www.channelnewsasia.com/news/business/coronavirus-drives-us-march-auto-sales-off-a-cliff-12591402,Business
Williams-Sonoma; Pottery Barn unit made unsubstantiated 'made in America' claims: FTC,Channelnewsasia.com,30/3/2020,Luxury kitchenware company Williams-Sonoma Inc  and its Pottery Barn unit have agreed to stop making unsubstantiated "made in America" claims and to pay US$1 million; the Federal Trade Commission said on Monday.,https://www.channelnewsasia.com/news/business/williams-sonoma--pottery-barn-unit-made-unsubstantiated--made-in-america--claims--ftc-12591352,Business
